,total_matches,total_tournaments,total_finals,total_wins,best_rank,career_span_days,avg_sets_per_match,top_10_wins,ranking_stability,wins_clay,wins_grass,wins_hard,wins_atp250,wins_atp500,wins_grand slam,wins_international,wins_international gold,wins_masters,wins_masters 1000,wins_masters cup,wins_month_1,wins_month_2,wins_month_3,wins_month_4,wins_month_5,wins_month_6,wins_month_7,wins_month_8,wins_month_9,wins_month_10,wins_month_11,wins_month_12,wins_1st_round,wins_2nd_round,wins_3rd_round,wins_4th_round,wins_quarterfinals,wins_round_robin,wins_semifinals,wins_the_final,win_rate,finals_rate
 Hajek J.,2.0,1.0,0.0,1.0,79.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Abdulla M.,1.0,1.0,0.0,0.0,1349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abel M.,8.0,8.0,0.0,1.0,191.0,0.0,3.0,0.0,82.46211251235322,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
Acasuso J.,340.0,109.0,11.0,175.0,20.0,3650.0,2.3714285714285714,5.0,36.205290483660136,132.0,0.0,43.0,16.0,4.0,12.0,93.0,18.0,31.0,1.0,0.0,7.0,50.0,12.0,11.0,19.0,0.0,18.0,26.0,26.0,6.0,0.0,0.0,84.0,49.0,6.0,0.0,22.0,0.0,11.0,3.0,0.5147058823529411,0.03235294117647059
Adaktusson J.,1.0,1.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agaev E.,1.0,1.0,0.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agamenone F.,5.0,2.0,0.0,3.0,156.0,3.0,2.6666666666666665,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0
Agassi A.,337.0,69.0,24.0,257.0,1.0,2419.0,2.622568093385214,32.0,5.470822286591285,39.0,19.0,199.0,0.0,0.0,80.0,71.0,17.0,81.0,0.0,8.0,28.0,23.0,45.0,12.0,24.0,20.0,21.0,49.0,9.0,15.0,11.0,0.0,53.0,62.0,38.0,19.0,40.0,6.0,24.0,15.0,0.7626112759643917,0.0712166172106825
Agenor R.,25.0,23.0,0.0,6.0,88.0,364.0,2.5,0.0,26.14236173192998,3.0,0.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
Ager J.,2.0,2.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agostinelli B.,1.0,1.0,0.0,0.0,1171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguilar J.,5.0,4.0,0.0,1.0,223.0,0.0,2.0,0.0,123.03657992645927,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Ahouda A.,4.0,2.0,0.0,1.0,727.0,0.0,2.0,0.0,154.8563850798539,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Ajdukovic D.,12.0,7.0,0.0,4.0,110.0,1095.0,2.5,0.0,75.4516559192201,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0
Al Ghareeb M.,5.0,4.0,0.0,0.0,352.0,0.0,0.0,0.0,12.727922061357855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Khulaifi N.G.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Alawi S.K.,2.0,1.0,0.0,0.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Ghareeb M.,1.0,1.0,0.0,0.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alami K.,74.0,50.0,0.0,26.0,25.0,812.0,2.6923076923076925,2.0,48.00234603876383,14.0,2.0,10.0,0.0,0.0,4.0,13.0,4.0,5.0,0.0,0.0,2.0,4.0,0.0,8.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,17.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.35135135135135137,0.0
Albert M.,1.0,1.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albot R.,222.0,107.0,1.0,86.0,39.0,3675.0,2.686046511627907,0.0,29.1870508855201,20.0,8.0,58.0,56.0,5.0,15.0,0.0,0.0,0.0,10.0,0.0,4.0,22.0,3.0,6.0,8.0,5.0,12.0,8.0,7.0,8.0,3.0,0.0,58.0,19.0,0.0,0.0,7.0,0.0,1.0,1.0,0.38738738738738737,0.0045045045045045045
Alcaide G.,1.0,1.0,0.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alcaraz C.,238.0,52.0,20.0,187.0,1.0,1730.0,2.6898395721925135,34.0,60.18070832080259,72.0,24.0,91.0,25.0,40.0,57.0,0.0,0.0,0.0,62.0,3.0,5.0,18.0,25.0,21.0,21.0,17.0,27.0,13.0,17.0,16.0,7.0,0.0,27.0,47.0,27.0,17.0,30.0,3.0,20.0,16.0,0.7857142857142857,0.08403361344537816
Aldi F.,8.0,5.0,0.0,1.0,308.0,0.0,2.0,0.0,102.66844463519217,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
Allegro Y.,10.0,8.0,0.0,3.0,222.0,364.0,2.6666666666666665,0.0,57.42647473073721,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Almagro N.,627.0,148.0,23.0,370.0,9.0,4894.0,2.556756756756757,17.0,50.73708493438932,258.0,11.0,101.0,110.0,54.0,62.0,49.0,21.0,19.0,55.0,0.0,24.0,74.0,26.0,60.0,62.0,14.0,43.0,25.0,13.0,28.0,1.0,0.0,133.0,123.0,27.0,5.0,45.0,2.0,22.0,13.0,0.5901116427432217,0.03668261562998405
Almagro N. ,1.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonso J.,12.0,8.0,0.0,4.0,111.0,154.0,2.75,0.0,3.5355339059327378,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Altamirano C.,1.0,1.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altmaier D.,120.0,70.0,0.0,41.0,47.0,2687.0,2.6341463414634148,4.0,65.83277090849356,23.0,5.0,13.0,22.0,2.0,8.0,0.0,0.0,0.0,9.0,0.0,4.0,3.0,1.0,6.0,4.0,5.0,9.0,2.0,1.0,5.0,1.0,0.0,25.0,11.0,2.0,1.0,2.0,0.0,0.0,0.0,0.3416666666666667,0.0
Alund M.,17.0,14.0,0.0,7.0,91.0,358.0,2.4285714285714284,0.0,12.54436571178914,7.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4117647058823529,0.0
Alvarez E.,18.0,15.0,0.0,6.0,116.0,504.0,2.3333333333333335,0.0,15.214341605084016,6.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0
Alvarez Varona N.,3.0,2.0,0.0,1.0,231.0,0.0,3.0,0.0,31.176914536239792,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Alves M.,1.0,1.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alves T.,30.0,20.0,0.0,7.0,105.0,1302.0,3.4285714285714284,0.0,57.169594191318154,1.0,2.0,4.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.0
Amritraj P.,34.0,13.0,1.0,12.0,159.0,3640.0,2.5,0.0,125.99417830611449,0.0,8.0,4.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.35294117647058826,0.029411764705882353
Ancic I.,3.0,2.0,0.0,2.0,68.0,1.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
Ancic M.,306.0,97.0,11.0,188.0,9.0,2819.0,2.6382978723404253,13.0,77.20407176808581,31.0,35.0,122.0,7.0,3.0,40.0,83.0,16.0,37.0,2.0,0.0,25.0,34.0,14.0,8.0,21.0,35.0,3.0,9.0,11.0,26.0,2.0,0.0,73.0,61.0,17.0,4.0,19.0,0.0,11.0,3.0,0.6143790849673203,0.03594771241830065
Andersen J.,1.0,1.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andersen J.F.,8.0,5.0,0.0,2.0,190.0,1142.0,3.5,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Anderson A.,1.0,1.0,0.0,0.0,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderson K.,574.0,129.0,20.0,332.0,5.0,5615.0,2.6927710843373496,16.0,54.03761425220225,57.0,46.0,229.0,112.0,52.0,75.0,5.0,0.0,2.0,84.0,2.0,29.0,33.0,44.0,18.0,32.0,28.0,36.0,47.0,15.0,45.0,5.0,0.0,122.0,108.0,35.0,9.0,29.0,2.0,20.0,7.0,0.578397212543554,0.03484320557491289
Anderson O.,1.0,1.0,0.0,0.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andersson H.,1.0,1.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreev A.,7.0,6.0,0.0,2.0,211.0,45.0,2.5,0.0,177.68605272596196,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
Andreev I.,420.0,140.0,9.0,213.0,19.0,3241.0,2.6103286384976525,10.0,46.08021417717002,104.0,16.0,93.0,42.0,6.0,36.0,82.0,13.0,24.0,10.0,0.0,22.0,20.0,17.0,23.0,19.0,19.0,32.0,23.0,17.0,21.0,0.0,0.0,107.0,59.0,13.0,3.0,16.0,3.0,9.0,3.0,0.5071428571428571,0.02142857142857143
Andreev I. ,1.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andreozzi G.,40.0,31.0,0.0,12.0,74.0,3079.0,2.5833333333333335,0.0,76.41594969913712,6.0,1.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Androic T.,2.0,2.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andujar P.,383.0,128.0,9.0,153.0,36.0,5650.0,2.5555555555555554,5.0,175.57544603409795,111.0,3.0,39.0,79.0,29.0,23.0,3.0,1.0,0.0,18.0,0.0,7.0,20.0,9.0,36.0,21.0,2.0,23.0,14.0,14.0,7.0,0.0,0.0,86.0,36.0,4.0,0.0,14.0,0.0,9.0,4.0,0.39947780678851175,0.02349869451697128
Aragone J.,2.0,2.0,0.0,0.0,289.0,0.0,0.0,0.0,173.24116139070415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aragone J.C.,1.0,1.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aragone JC,1.0,1.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aranguren J.M.,2.0,2.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arazi H.,208.0,90.0,1.0,106.0,23.0,1731.0,2.669811320754717,10.0,22.638975150750277,26.0,13.0,67.0,0.0,0.0,27.0,37.0,10.0,32.0,0.0,0.0,13.0,7.0,7.0,12.0,11.0,13.0,3.0,12.0,2.0,20.0,3.0,3.0,60.0,30.0,7.0,2.0,6.0,0.0,1.0,0.0,0.5096153846153846,0.004807692307692308
Arevalo M.,2.0,2.0,0.0,0.0,145.0,0.0,0.0,0.0,53.033008588991066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arguello F.,16.0,11.0,0.0,1.0,107.0,0.0,2.0,0.0,15.882942332667994,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
Armando H.,43.0,30.0,0.0,13.0,115.0,2632.0,2.1538461538461537,1.0,124.50819591365541,11.0,0.0,2.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3023255813953488,0.0
Arnaboldi A.,14.0,10.0,0.0,4.0,165.0,1050.0,3.0,0.0,24.915858403835898,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
Arnaldi M.,79.0,41.0,0.0,40.0,30.0,535.0,2.7,3.0,42.795341984222524,16.0,1.0,23.0,8.0,7.0,9.0,0.0,0.0,0.0,16.0,0.0,4.0,2.0,4.0,6.0,6.0,1.0,4.0,7.0,2.0,4.0,0.0,0.0,23.0,11.0,4.0,0.0,2.0,0.0,0.0,0.0,0.5063291139240507,0.0
Arnold L.,1.0,1.0,0.0,0.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arquez P.,1.0,1.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arthurs W.,237.0,94.0,2.0,104.0,44.0,2653.0,2.730769230769231,6.0,36.593207741111385,15.0,26.0,63.0,0.0,0.0,20.0,57.0,14.0,13.0,0.0,0.0,8.0,15.0,10.0,11.0,4.0,22.0,5.0,13.0,7.0,9.0,0.0,0.0,61.0,27.0,7.0,0.0,6.0,0.0,2.0,1.0,0.4388185654008439,0.008438818565400843
Artunedo Martinavarro A.,1.0,1.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arvidsson I.,1.0,1.0,0.0,0.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ascione A.,2.0,1.0,0.0,1.0,112.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Ascione T.,70.0,42.0,0.0,19.0,82.0,2191.0,2.1578947368421053,0.0,51.983974169089045,7.0,0.0,12.0,1.0,0.0,2.0,11.0,1.0,4.0,0.0,0.0,5.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2714285714285714,0.0
Atmane T.,12.0,10.0,0.0,3.0,121.0,364.0,2.3333333333333335,0.0,16.958282145704892,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Auckland J.,3.0,1.0,0.0,2.0,414.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
Auger-Aliassime F.,321.0,104.0,15.0,189.0,6.0,2419.0,2.544973544973545,13.0,46.615094103224266,42.0,21.0,126.0,59.0,52.0,31.0,0.0,0.0,0.0,46.0,1.0,11.0,39.0,17.0,14.0,17.0,18.0,8.0,18.0,9.0,31.0,7.0,0.0,56.0,66.0,18.0,6.0,24.0,1.0,13.0,5.0,0.5887850467289719,0.04672897196261682
Authom M.,2.0,2.0,0.0,0.0,156.0,0.0,0.0,0.0,25.45584412271571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avidzba A.,2.0,1.0,0.0,1.0,498.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Awadhy O.,1.0,1.0,0.0,0.0,1112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayala D.,1.0,1.0,0.0,0.0,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azzaro L.,3.0,3.0,0.0,0.0,295.0,0.0,0.0,0.0,16.97056274847714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
